date,source,employer,title,location,matched_slug,is_role_relevant,fit_tier,job_url
2026-09-22,li,Trust In SODA,User Experience Researcher,"London Area, United Kingdom",,True,below,https://www.linkedin.com/jobs/view/4467847460
2026-09-22,li,VeSync,Consumer & UX Researcher – UK (Global Consumer Insights Team),"Chippenham, England, UK",,True,below,https://www.linkedin.com/jobs/view/4436081998
2026-09-22,li,The Trade Desk,Principal UX Researcher,"London, England, UK",,True,target,https://www.linkedin.com/jobs/view/4450001068
2026-09-22,li,Version 1,Senior User Researcher,"Edinburgh, Scotland, UK",,True,below,https://www.linkedin.com/jobs/view/4428967140
2026-09-22,li,Wise,Staff User Researcher - Mitigation Platform,"London, England, UK",wise,True,target,https://www.linkedin.com/jobs/view/4457943786
2026-09-22,li,CGI,User Researcher – Human-Centred Design,,,True,below,https://www.linkedin.com/jobs/view/4468698934
2026-09-22,li,83zero,User Researcher,"Manchester, England, UK",,True,below,https://www.linkedin.com/jobs/view/4467509316
2026-09-22,li,Version 1,Senior User Researcher,"London, England, UK",,True,below,https://www.linkedin.com/jobs/view/4428953284
2026-09-22,li,hedgehog lab,Lead User Researcher - Public Sector,"Newcastle Upon Tyne, England, UK",,True,target,https://www.linkedin.com/jobs/view/4465592279
2026-09-22,li,Ocean Infinity,Principal UX Researcher,"London, England, UK",,True,target,https://www.linkedin.com/jobs/view/4465543546
2026-09-22,li,Amber Labs,User Researcher,"London Area, United Kingdom",,True,below,https://www.linkedin.com/jobs/view/4467708519
2026-09-22,li,Awin Global,Senior UX Researcher (f/m/d),"Manchester, England, UK",,True,below,https://www.linkedin.com/jobs/view/4464769915
2026-09-22,li,Opencast | B Corp™,Senior User Researcher,"Edinburgh, Scotland, UK",,True,below,https://www.linkedin.com/jobs/view/4464784588
2026-09-22,li,Opencast | B Corp™,Senior User Researcher,"Glasgow, Scotland, UK",,True,below,https://www.linkedin.com/jobs/view/4464788411
2026-09-22,li,Anson McCade,Senior User Researcher,"Manchester Area, United Kingdom",,True,below,https://www.linkedin.com/jobs/view/4465202718
2026-09-22,li,Tarka Talent,Consultant - User Researcher,"England, United Kingdom",,True,below,https://www.linkedin.com/jobs/view/4454191894
2026-09-22,li,Trustpilot Italia,Senior Quantitative UX Researcher,"London, England, UK",,True,below,https://www.linkedin.com/jobs/view/4465744775
2026-09-22,li,Trustpilot,Senior Quantitative UX Researcher,"London, England, UK",,True,below,https://www.linkedin.com/jobs/view/4467047860
2026-09-22,li,Methods,Senior User Researcher,"Sheffield, England, UK",,True,below,https://www.linkedin.com/jobs/view/4445512770
2026-09-22,li,Methods,Senior User Researcher,"Manchester, England, UK",,True,below,https://www.linkedin.com/jobs/view/4445099883
2026-09-22,indeed,JPMorganChase,UX Designer- Vice President- JPM Personal Investing,"London, ENG, GB",,True,target,https://uk.indeed.com/viewjob?jk=a8f40a684a2aa3d8
2026-09-22,indeed,UCL,Senior UX Researcher,"London, ENG, GB",,True,below,https://uk.indeed.com/viewjob?jk=109f46e06347ff1f
